user_id,action,time,cohort (main)
32462,video18.module2.play_video,10/23/2015 0:37,Group B
32462,video18.module2.pause_video,10/23/2015 0:40,Group B
32462,forum.read_inline,10/23/2015 0:40,Group B
32462,forum.read,10/23/2015 0:41,Group B
32462,forum.read,10/23/2015 0:42,Group B
32462,video18.module2.play_video,10/23/2015 0:52,Group B
32462,video18.module2.pause_video,10/23/2015 0:55,Group B
32462,video18.module2.play_video,10/23/2015 1:13,Group B
32462,video18.module2.pause_video,10/23/2015 1:16,Group B
32462,self_test23.module2.problem_check,10/23/2015 1:16,Group B
32462,video19.module2.play_video,10/23/2015 1:16,Group B
32462,video19.module2.pause_video,10/23/2015 1:19,Group B
32462,video19.module2.play_video,10/23/2015 1:25,Group B
32462,video19.module2.pause_video,10/23/2015 1:27,Group B
32462,self_test24.module2.problem_check,10/23/2015 1:28,Group B
32462,video20.module2.play_video,10/23/2015 1:28,Group B
32462,video20.module2.pause_video,10/23/2015 1:30,Group B
32462,video20.module2.play_video,10/23/2015 1:33,Group B
32462,video20.module2.pause_video,10/23/2015 1:33,Group B
32462,graded_problem1.module2.problem_check,10/23/2015 1:34,Group B
32462,graded_problem2.module2.problem_check,10/23/2015 1:34,Group B
32462,graded_problem3.module2.problem_check,10/23/2015 1:35,Group B
32462,graded_problem4.module2.problem_check,10/23/2015 1:35,Group B
32462,graded_problem4.module2.showanswer,10/23/2015 1:36,Group B
32462,graded_problem5.module2.problem_check,10/23/2015 1:36,Group B
32462,graded_problem6.module2.problem_check,10/23/2015 1:36,Group B
32462,graded_problem7.module2.problem_check,10/23/2015 1:36,Group B
32462,graded_problem8.module2.problem_check,10/23/2015 1:37,Group B
32462,graded_problem9.module2.problem_check,10/23/2015 1:37,Group B
32462,graded_problem10.module2.problem_check,10/23/2015 1:37,Group B
32462,graded_problem11.module2.problem_check,10/23/2015 1:38,Group B
32462,graded_problem11.module2.problem_check,10/23/2015 1:38,Group B
32462,graded_problem12.module2.problem_check,10/23/2015 1:38,Group B
32462,forum.read,10/26/2015 1:38,Group B
32462,forum.read,10/26/2015 1:40,Group B
32462,forum.read,10/26/2015 1:40,Group B
32462,forum.read,10/26/2015 1:41,Group B
32462,forum.read,10/26/2015 1:43,Group B
32462,forum.read,10/26/2015 1:43,Group B
32462,self_test1.module3.problem_check,10/28/2015 9:31,Group B
32462,self_test3.module3.problem_check,10/28/2015 9:32,Group B
32462,self_test3.module3.problem_check,10/28/2015 9:32,Group B
32462,self_test4.module3.problem_check,10/28/2015 9:33,Group B
32462,video1.module3.play_video,10/28/2015 9:34,Group B
32462,video1.module3.pause_video,10/28/2015 9:37,Group B
32462,video2.module3.play_video,10/28/2015 9:37,Group B
32462,video2.module3.pause_video,10/28/2015 9:37,Group B
32462,self_test2.module3.problem_check,10/28/2015 9:38,Group B
32462,self_test2.module3.problem_check,10/28/2015 9:38,Group B
32462,video3.module3.play_video,10/28/2015 9:38,Group B
32462,video3.module3.pause_video,10/28/2015 9:39,Group B
32462,video4.module3.play_video,10/28/2015 9:39,Group B
32462,video4.module3.pause_video,10/28/2015 9:43,Group B
32462,video5.module3.play_video,10/28/2015 9:43,Group B
32462,video5.module3.pause_video,10/28/2015 9:45,Group B
32462,video6.module3.play_video,10/28/2015 9:48,Group B
32462,video6.module3.pause_video,10/28/2015 9:55,Group B
32462,self_test5.module3.problem_check,10/28/2015 9:55,Group B
32462,video7.module3.play_video,10/28/2015 9:55,Group B
32462,video7.module3.pause_video,10/28/2015 9:56,Group B
32462,self_test6.module3.problem_check,10/28/2015 9:57,Group B
32462,video8.module3.play_video,10/28/2015 9:57,Group B
32462,video8.module3.pause_video,10/28/2015 9:57,Group B
32462,self_test7.module3.problem_check,10/28/2015 10:06,Group B
32462,self_test7.module3.problem_check,10/28/2015 10:06,Group B
32462,self_test7.module3.problem_check,10/28/2015 10:06,Group B
32462,self_test8.module3.problem_check,10/28/2015 10:06,Group B
32462,self_test9.module3.problem_check,10/28/2015 10:07,Group B
32462,self_test9.module3.problem_check,10/28/2015 10:07,Group B
