uid,pre,post,condition,gains,group
c1478c98c6f95df977c9b746f14bf55b,22.6,24.35,Default Group,0.077433628,LL
9d2b86fbb7f95f74da8ddbb0f5732b8b,16.45,16.45,Group A,0,LL
313fd13da8cbc26d2f313b3bd02e141f,12.6,20.15,Group B,0.599206349,HL
f86e9500c65ccb46a4d5978158744473,14.65,21.9,Group A,0.494880546,HL
e219b36d09e3c76aa355e96861f792bd,15.75,20.1,Group A,0.276190476,HL
bf05c75f227cc5b6e71014ee9937c165,14.15,19.6,Group A,0.385159011,HL
be1cf476c41061f3df85210bffb033bf,18.15,21.2,Group A,0.168044077,LL
4bfece2f5c7159b20810b3b500b5a1b6,17.15,22.15,Group B,0.29154519,HL
bb6bd5980cb96b89d93045271315aec5,14.9,14.15,Group B,-0.05033557,LL
a9e6dd49ffefadfd2887432317c6885c,13.15,22.9,Group A,0.741444867,HL
f582beec0db9c4a4a6d2b3d1f44dfd76,13.4,18.45,Group B,0.376865672,HL
1951fce339652a7dc980e669a4e20fd6,12.95,18.95,Group B,0.463320463,HL
0e5a2aba4ca28826ad3f75a31df1e346,12.65,20.45,Group B,0.616600791,HL
3eb1f752a9f8e7bda6648fcf7d1df45d,12.75,18.9,Group A,0.482352941,HL
0251df2b4ff98ad6e66c6381e7d675c1,21.65,23.9,Group B,0.103926097,LL
81d070e852b774f8785e1f404729d298,10.7,19.95,Group B,0.864485981,HL
e9da5f2ea6c419277accc5a95a23cd73,14.2,20.05,Group B,0.411971831,HL
579d7a7b0116fe3ac449f55ba2a3d3a3,18.2,18.9,Group A,0.038461538,LL
53d7db901c19ffd1be00eff7575c6d06,21.4,21.4,Group B,0,LL
bb436815583fdc9f717715bd8053ce1c,15.15,13.75,Group B,-0.092409241,LL
1a7258f2b85e12151dfa00c56c456eba,19.4,22.4,Group B,0.154639175,LL
4fd4d60da3efe98bfe6ae453345ab46b,14.65,17.35,Group B,0.184300341,HL
784269b5b201ba7600b1db4c3732a637,16.45,22.45,Group A,0.364741641,HL
87fa77ae70c950d67ef25f66cf22b287,16.65,20.9,Group A,0.255255255,HL
6c5cb67e56ef900e64ab153216029df2,11.9,18.15,Group A,0.525210084,HL
9b1c0a2ef7ae9e8e5ccd9ad2ec1d440e,17.15,20.9,Group A,0.218658892,HL
1a8e92a58a717d188576e8b00948caa7,13.4,15.4,Group B,0.149253731,LL
a0664292a6aaa8982d38a20a288d4852,16.2,17.95,Group B,0.108024691,LL
fd50b98999f075a6f3d22ff9a1c5c2d1,21.9,19.9,Group B,-0.091324201,LL
a071214b681c0db3f0a328a6c1500641,15.7,16.15,Group B,0.02866242,LL
83b98fa2d35d3a5053895efb558cf62a,11.9,18.95,Group A,0.592436975,HL
12b854bba906832bfa36435d5fbb60dc,10.95,20.45,Default Group,0.867579909,HL
c092a22cd8497b1edf39f8e98d36acb6,4.65,20.85,Group B,3.483870968,HL
0369306119050b6b9d9ac85e55da9030,22.8,22.85,Group A,0.002192982,LL
104bf0ca90a6299703ef8f44f74ce41c,19.35,20.5,Group A,0.059431525,LL
b27b908209429ab09d069eb1e680f544,11.45,23.15,Group A,1.021834061,HL
250a2d09e4f4b8581cdcbbc20b575d23,19.65,21.4,Group B,0.089058524,LL
6f2c5b6b97ae2797a1d5660765beb552,15.9,18.4,Group B,0.157232704,LL
94df47b469c3954e7faf92bf74de4cbf,20.95,20.9,Group B,-0.002386635,LL
41849dc58bd4942bd2b4c6281ed4fe71,19.15,20.15,Group A,0.052219321,LL
b17a1417af7d10703f98bc5ef633378d,20.65,21.6,Group A,0.046004843,LL
ac8c8f9923ceac97429bd4c1028de26a,20.15,21.6,Group A,0.071960298,LL
